model_name,task_name,"acc,none",n_samples_original,n_samples_effective,n_shot
google/gemma-3-1b-it,analogies_high,0.41875,4800,4800,5
google/gemma-3-1b-it,analogies_low,0.322,2000,2000,5
google/gemma-3-1b-it,analogies_medium,0.3596666666666667,3000,3000,5
google/gemma-3-1b-it,analogies_mono,0.5518181818181818,1100,1100,5
google/gemma-3-1b-it,hypernymy_high,0.5225,4800,4800,5
google/gemma-3-1b-it,hypernymy_low,0.396,2000,2000,5
google/gemma-3-1b-it,hypernymy_medium,0.4826666666666667,3000,3000,5
google/gemma-3-1b-it,hypernymy_mono,0.6734130634774609,1087,1087,5
google/gemma-3-1b-it,meronymy_high,0.4225,4800,4800,5
google/gemma-3-1b-it,meronymy_low,0.3615,2000,2000,5
google/gemma-3-1b-it,meronymy_medium,0.3596666666666667,3000,3000,5
google/gemma-3-1b-it,meronymy_mono,0.5952161913523459,1087,1087,5
google/gemma-3-1b-it,gloss_high,0.6191077441077442,4752,4752,5
google/gemma-3-1b-it,gloss_low,0.3555555555555555,1980,1980,5
google/gemma-3-1b-it,gloss_medium,0.4959595959595959,2970,2970,5
google/gemma-3-1b-it,gloss_mono,0.9207650273224044,1098,1098,5
google/gemma-3-1b-it,analogies_all,0.3810689514483884,36765,36765,5
google/gemma-3-1b-it,gloss_all,0.4933333333333333,750,750,5
google/gemma-3-1b-it,hypernymy_all,0.4358765129878961,36765,36765,5
google/gemma-3-1b-it,meronymy_all,0.3526451788385693,36765,36765,5
google/gemma-3-1b-it,analogies_high,0.3772916666666667,4800,4800,0
google/gemma-3-1b-it,analogies_low,0.3045,2000,2000,0
google/gemma-3-1b-it,analogies_medium,0.3356666666666666,3000,3000,0
google/gemma-3-1b-it,analogies_mono,0.4027272727272727,1100,1100,0
google/gemma-3-1b-it,hypernymy_high,0.4364583333333333,4800,4800,0
google/gemma-3-1b-it,hypernymy_low,0.3665,2000,2000,0
google/gemma-3-1b-it,hypernymy_medium,0.4163333333333333,3000,3000,0
google/gemma-3-1b-it,hypernymy_mono,0.5050597976080957,1087,1087,0
google/gemma-3-1b-it,meronymy_high,0.339375,4800,4800,0
google/gemma-3-1b-it,meronymy_low,0.3005,2000,2000,0
google/gemma-3-1b-it,meronymy_medium,0.3356666666666666,3000,3000,0
google/gemma-3-1b-it,meronymy_mono,0.4645814167433302,1087,1087,0
google/gemma-3-1b-it,gloss_high,0.4659090909090909,4752,4752,0
google/gemma-3-1b-it,gloss_low,0.3424242424242424,1980,1980,0
google/gemma-3-1b-it,gloss_medium,0.4,2970,2970,0
google/gemma-3-1b-it,gloss_mono,0.4717668488160291,1098,1098,0
google/gemma-3-1b-it,analogies_all,0.3569971440228478,36765,36765,0
google/gemma-3-1b-it,gloss_all,0.4133333333333333,750,750,0
google/gemma-3-1b-it,hypernymy_all,0.4017407860737114,36765,36765,0
google/gemma-3-1b-it,meronymy_all,0.3204678362573099,36765,36765,0
google/gemma-7b-it,analogies_high,0.364375,4800,4800,5
google/gemma-7b-it,analogies_low,0.3115,2000,2000,5
google/gemma-7b-it,analogies_medium,0.331,3000,3000,5
google/gemma-7b-it,analogies_mono,0.5927272727272728,1100,1100,5
google/gemma-7b-it,hypernymy_high,0.5591666666666667,4800,4800,5
google/gemma-7b-it,hypernymy_low,0.472,2000,2000,5
google/gemma-7b-it,hypernymy_medium,0.5396666666666666,3000,3000,5
google/gemma-7b-it,hypernymy_mono,0.7580496780128795,1087,1087,5
google/gemma-7b-it,meronymy_high,0.4279166666666666,4800,4800,5
google/gemma-7b-it,meronymy_low,0.382,2000,2000,5
google/gemma-7b-it,meronymy_medium,0.331,3000,3000,5
google/gemma-7b-it,meronymy_mono,0.6347746090156394,1087,1087,5
google/gemma-7b-it,gloss_high,0.7489478114478114,4752,4752,5
google/gemma-7b-it,gloss_low,0.5191919191919192,1980,1980,5
google/gemma-7b-it,gloss_medium,0.6616161616161617,2970,2970,5
google/gemma-7b-it,gloss_mono,0.965391621129326,1098,1098,5
google/gemma-7b-it,analogies_all,0.3755745954032368,36765,36765,5
google/gemma-7b-it,gloss_all,0.652,750,750,5
google/gemma-7b-it,hypernymy_all,0.4855977152182782,36765,36765,5
google/gemma-7b-it,meronymy_all,0.3605331157350741,36765,36765,5
google/gemma-7b-it,analogies_high,0.3547916666666666,4800,4800,0
google/gemma-7b-it,analogies_low,0.3175,2000,2000,0
google/gemma-7b-it,analogies_medium,0.3286666666666666,3000,3000,0
google/gemma-7b-it,analogies_mono,0.5390909090909091,1100,1100,0
google/gemma-7b-it,hypernymy_high,0.4125,4800,4800,0
google/gemma-7b-it,hypernymy_low,0.3775,2000,2000,0
google/gemma-7b-it,hypernymy_medium,0.411,3000,3000,0
google/gemma-7b-it,hypernymy_mono,0.6053357865685373,1087,1087,0
google/gemma-7b-it,meronymy_high,0.3375,4800,4800,0
google/gemma-7b-it,meronymy_low,0.3055,2000,2000,0
google/gemma-7b-it,meronymy_medium,0.3286666666666666,3000,3000,0
google/gemma-7b-it,meronymy_mono,0.5482980680772769,1087,1087,0
google/gemma-7b-it,gloss_high,0.647516835016835,4752,4752,0
google/gemma-7b-it,gloss_low,0.4676767676767677,1980,1980,0
google/gemma-7b-it,gloss_medium,0.5579124579124579,2970,2970,0
google/gemma-7b-it,gloss_mono,0.7896174863387978,1098,1098,0
