task_name,model_name,"acc,none",rank
analogies_all,meta-llama/Llama-3.1-8B-Instruct,0.5285733714130287,1.0
analogies_all,Qwen/Qwen3-8B,0.4898680810553515,2.0
analogies_all,mistralai/Mistral-7B-Instruct-v0.3,0.4762681898544811,3.0
analogies_all,google/gemma-3-1b-it,0.3810689514483884,4.0
analogies_all,google/gemma-7b-it,0.3755745954032368,5.0
analogies_high,meta-llama/Llama-3.1-8B-Instruct,0.5283333333333333,1.0
analogies_high,mistralai/Mistral-7B-Instruct-v0.3,0.51125,2.0
analogies_high,Qwen/Qwen3-8B,0.50875,3.0
analogies_high,google/gemma-3-1b-it,0.41875,4.0
analogies_high,google/gemma-7b-it,0.364375,5.0
analogies_low,meta-llama/Llama-3.1-8B-Instruct,0.435,1.0
analogies_low,Qwen/Qwen3-8B,0.387,2.0
analogies_low,mistralai/Mistral-7B-Instruct-v0.3,0.38,3.0
analogies_low,google/gemma-3-1b-it,0.322,4.0
analogies_low,google/gemma-7b-it,0.3115,5.0
analogies_medium,meta-llama/Llama-3.1-8B-Instruct,0.4796666666666667,1.0
analogies_medium,Qwen/Qwen3-8B,0.449,2.0
analogies_medium,mistralai/Mistral-7B-Instruct-v0.3,0.4273333333333333,3.0
analogies_medium,google/gemma-3-1b-it,0.3596666666666667,4.0
analogies_medium,google/gemma-7b-it,0.331,5.0
analogies_mono,meta-llama/Llama-3.1-8B-Instruct,0.7509090909090909,1.0
analogies_mono,mistralai/Mistral-7B-Instruct-v0.3,0.73,2.0
analogies_mono,Qwen/Qwen3-8B,0.7181818181818181,3.0
analogies_mono,google/gemma-7b-it,0.5927272727272728,4.0
analogies_mono,google/gemma-3-1b-it,0.5518181818181818,5.0
gloss_all,meta-llama/Llama-3.1-8B-Instruct,0.7693333333333333,1.0
gloss_all,Qwen/Qwen3-8B,0.7026666666666667,2.0
gloss_all,mistralai/Mistral-7B-Instruct-v0.3,0.6786666666666666,3.0
gloss_all,google/gemma-7b-it,0.652,4.0
gloss_all,google/gemma-3-1b-it,0.4933333333333333,5.0
gloss_high,meta-llama/Llama-3.1-8B-Instruct,0.8541666666666666,1.0
gloss_high,mistralai/Mistral-7B-Instruct-v0.3,0.8129208754208754,2.0
gloss_high,Qwen/Qwen3-8B,0.8114478114478114,3.0
gloss_high,google/gemma-7b-it,0.7489478114478114,4.0
gloss_high,google/gemma-3-1b-it,0.6191077441077442,5.0
gloss_low,meta-llama/Llama-3.1-8B-Instruct,0.6767676767676768,1.0
gloss_low,mistralai/Mistral-7B-Instruct-v0.3,0.5505050505050505,2.0
gloss_low,Qwen/Qwen3-8B,0.5464646464646464,3.0
gloss_low,google/gemma-7b-it,0.5191919191919192,4.0
gloss_low,google/gemma-3-1b-it,0.3555555555555555,5.0
gloss_medium,meta-llama/Llama-3.1-8B-Instruct,0.7777777777777778,1.0
gloss_medium,Qwen/Qwen3-8B,0.7252525252525253,2.0
gloss_medium,google/gemma-7b-it,0.6616161616161617,3.0
gloss_medium,mistralai/Mistral-7B-Instruct-v0.3,0.6407407407407407,4.0
gloss_medium,google/gemma-3-1b-it,0.4959595959595959,5.0
gloss_mono,mistralai/Mistral-7B-Instruct-v0.3,0.9899817850637522,1.0
gloss_mono,Qwen/Qwen3-8B,0.98816029143898,2.0
gloss_mono,meta-llama/Llama-3.1-8B-Instruct,0.98816029143898,2.0
gloss_mono,google/gemma-7b-it,0.965391621129326,4.0
gloss_mono,google/gemma-3-1b-it,0.9207650273224044,5.0
hypernymy_all,meta-llama/Llama-3.1-8B-Instruct,0.5964096287229702,1.0
hypernymy_all,Qwen/Qwen3-8B,0.554984360125119,2.0
hypernymy_all,mistralai/Mistral-7B-Instruct-v0.3,0.5370325037399701,3.0
hypernymy_all,google/gemma-7b-it,0.4855977152182782,4.0
hypernymy_all,google/gemma-3-1b-it,0.4358765129878961,5.0
hypernymy_high,meta-llama/Llama-3.1-8B-Instruct,0.638125,1.0
hypernymy_high,Qwen/Qwen3-8B,0.608125,2.0
hypernymy_high,mistralai/Mistral-7B-Instruct-v0.3,0.6058333333333333,3.0
hypernymy_high,google/gemma-7b-it,0.5591666666666667,4.0
hypernymy_high,google/gemma-3-1b-it,0.5225,5.0
hypernymy_low,meta-llama/Llama-3.1-8B-Instruct,0.5705,1.0
hypernymy_low,Qwen/Qwen3-8B,0.51,2.0
hypernymy_low,mistralai/Mistral-7B-Instruct-v0.3,0.4885,3.0
hypernymy_low,google/gemma-7b-it,0.472,4.0
hypernymy_low,google/gemma-3-1b-it,0.396,5.0
hypernymy_medium,meta-llama/Llama-3.1-8B-Instruct,0.619,1.0
hypernymy_medium,Qwen/Qwen3-8B,0.61,2.0
hypernymy_medium,mistralai/Mistral-7B-Instruct-v0.3,0.5476666666666666,3.0
hypernymy_medium,google/gemma-7b-it,0.5396666666666666,4.0
hypernymy_medium,google/gemma-3-1b-it,0.4826666666666667,5.0
hypernymy_mono,mistralai/Mistral-7B-Instruct-v0.3,0.7608095676172953,1.0
hypernymy_mono,meta-llama/Llama-3.1-8B-Instruct,0.7598896044158233,2.0
hypernymy_mono,google/gemma-7b-it,0.7580496780128795,3.0
hypernymy_mono,Qwen/Qwen3-8B,0.7571297148114076,4.0
hypernymy_mono,google/gemma-3-1b-it,0.6734130634774609,5.0
meronymy_all,meta-llama/Llama-3.1-8B-Instruct,0.4608459132326941,1.0
meronymy_all,Qwen/Qwen3-8B,0.4254317965456276,2.0
meronymy_all,mistralai/Mistral-7B-Instruct-v0.3,0.4199918400652794,3.0
meronymy_all,google/gemma-7b-it,0.3605331157350741,4.0
meronymy_all,google/gemma-3-1b-it,0.3526451788385693,5.0
meronymy_high,meta-llama/Llama-3.1-8B-Instruct,0.5295833333333333,1.0
meronymy_high,mistralai/Mistral-7B-Instruct-v0.3,0.50625,2.0
meronymy_high,Qwen/Qwen3-8B,0.49875,3.0
meronymy_high,google/gemma-7b-it,0.4279166666666666,4.0
meronymy_high,google/gemma-3-1b-it,0.4225,5.0
meronymy_low,meta-llama/Llama-3.1-8B-Instruct,0.4555,1.0
meronymy_low,mistralai/Mistral-7B-Instruct-v0.3,0.44,2.0
meronymy_low,Qwen/Qwen3-8B,0.417,3.0
meronymy_low,google/gemma-7b-it,0.382,4.0
meronymy_low,google/gemma-3-1b-it,0.3615,5.0
meronymy_medium,meta-llama/Llama-3.1-8B-Instruct,0.4796666666666667,1.0
meronymy_medium,Qwen/Qwen3-8B,0.449,2.0
meronymy_medium,mistralai/Mistral-7B-Instruct-v0.3,0.4273333333333333,3.0
meronymy_medium,google/gemma-3-1b-it,0.3596666666666667,4.0
meronymy_medium,google/gemma-7b-it,0.331,5.0
meronymy_mono,mistralai/Mistral-7B-Instruct-v0.3,0.7562097516099356,1.0
meronymy_mono,meta-llama/Llama-3.1-8B-Instruct,0.7414903403863845,2.0
meronymy_mono,Qwen/Qwen3-8B,0.7175712971481141,3.0
meronymy_mono,google/gemma-7b-it,0.6347746090156394,4.0
meronymy_mono,google/gemma-3-1b-it,0.5952161913523459,5.0
